"","independent_value","pdp_value","run","variable"
"1",0,0.45450042107956,"672","logProteinDiet"
"2",0.019792242464447,0.45450042107956,"672","logProteinDiet"
"3",0.0395844849288941,0.45450042107956,"672","logProteinDiet"
"4",0.0593767273933411,0.45450042107956,"672","logProteinDiet"
"5",0.0791689698577881,0.45450042107956,"672","logProteinDiet"
"6",0.0989612123222351,0.45450042107956,"672","logProteinDiet"
"7",0.118753454786682,0.45450042107956,"672","logProteinDiet"
"8",0.138545697251129,0.45450042107956,"672","logProteinDiet"
"9",0.158337939715576,0.45450042107956,"672","logProteinDiet"
"10",0.178130182180023,0.45450042107956,"672","logProteinDiet"
"11",0.19792242464447,0.45450042107956,"672","logProteinDiet"
"12",0.217714667108917,0.45450042107956,"672","logProteinDiet"
"13",0.237506909573364,0.45450042107956,"672","logProteinDiet"
"14",0.257299152037811,0.45450042107956,"672","logProteinDiet"
"15",0.277091394502258,0.45450042107956,"672","logProteinDiet"
"16",0.296883636966705,0.45450042107956,"672","logProteinDiet"
"17",0.316675879431152,0.45450042107956,"672","logProteinDiet"
"18",0.3364681218956,0.453298519431485,"672","logProteinDiet"
"19",0.356260364360047,0.449549500477583,"672","logProteinDiet"
"20",0.376052606824494,0.440608431887681,"672","logProteinDiet"
"21",0.395844849288941,0.440608431887681,"672","logProteinDiet"
"22",0.415637091753388,0.439619824458613,"672","logProteinDiet"
"23",0.435429334217835,0.440653616240685,"672","logProteinDiet"
"24",0.455221576682282,0.425114381019783,"672","logProteinDiet"
"25",0.475013819146729,0.43748259202651,"672","logProteinDiet"
"26",0.494806061611176,0.435448823662303,"672","logProteinDiet"
"27",0.514598304075623,0.428882778786649,"672","logProteinDiet"
"28",0.53439054654007,0.427700919638537,"672","logProteinDiet"
"29",0.554182789004517,0.456496035164372,"672","logProteinDiet"
"30",0.573975031468964,0.456496035164372,"672","logProteinDiet"
"31",0.593767273933411,0.455905376040205,"672","logProteinDiet"
"32",0.613559516397858,0.483598289629598,"672","logProteinDiet"
"33",0.633351758862305,0.492903366051046,"672","logProteinDiet"
"34",0.653144001326752,0.493700422863265,"672","logProteinDiet"
"35",0.672936243791199,0.49634864199543,"672","logProteinDiet"
"36",0.692728486255646,0.498658354980901,"672","logProteinDiet"
"37",0.712520728720093,0.499992370881423,"672","logProteinDiet"
"38",0.73231297118454,0.492658284192022,"672","logProteinDiet"
"39",0.752105213648987,0.487789873527031,"672","logProteinDiet"
"40",0.771897456113434,0.483447295906451,"672","logProteinDiet"
"41",0.791689698577881,0.424803203084339,"672","logProteinDiet"
"42",0.811481941042328,0.425908785036876,"672","logProteinDiet"
"43",0.831274183506775,0.33401297074129,"672","logProteinDiet"
"44",0.851066425971222,0.33045076209062,"672","logProteinDiet"
"45",0.870858668435669,0.32491617201588,"672","logProteinDiet"
"46",0.890650910900116,0.322942114526751,"672","logProteinDiet"
"47",0.910443153364563,0.325024552512579,"672","logProteinDiet"
"48",0.93023539582901,0.331775379380929,"672","logProteinDiet"
"49",0.950027638293457,0.329196746250104,"672","logProteinDiet"
"50",0.969819880757904,0.291281700308038,"672","logProteinDiet"
"51",0.989612123222352,0.284788743475762,"672","logProteinDiet"
